countyname,code
门头沟区,110109
房山区,110111
通州区,110112
顺义区,110113
昌平区,110114
大兴区,110115
怀柔区,110116
平谷区,110117
密云区,110118
延庆县,110119
小店区,140105
城区,130132001
南郊区,152502006
浑源县,140225
平定县,140321
武乡县,140429
盐湖区,140802
忻府区,140902
宁武县,140925
静乐县,140926
柳林县,141125
岚县,141127
赛罕区,150105
和林格尔县,150123
巴林左旗,150422
科尔沁左翼中旗,150521
库伦旗,150524
达拉特旗,150621
杭锦旗,150625
五原县,150821
四子王旗,150929
乌兰浩特市,152201
科尔沁右翼前旗,152221
正镶白旗,152529
阿拉善左旗,152921
铁西区,210106
东陵区,130281205
台安县,210321
东洲区,210403
本溪满族自治县,210521
东港市,210681
老边区,210811
宏伟区,211004
昌图县,211224
建平县,211322
绥中县,211421
锡山区,320205
睢宁县,320324
吴中区,320506
张家港市,320582
启东市,320681
灌南县,320724
清江浦区,320812
涟水县,320826
盐都区,320903
滨海县,320922
邗江区,321003
高邮市,321084
丹徒区,321112
兴化市,321281
沭阳县,321322
庐江县,340124
鸠江区,340207
龙子湖区,340302
淮上区,340311
当涂县,340521
濉溪县,340621
大观区,340803
宿松县,340826
歙县,341021
颍泉区,341204
太和县,341222
泗县,341324
裕安区,341503
贵池区,341702
天桥区,370105
长清区,370113
济阳县,350425203
黄岛区,370211
崂山区,370212
城阳区,370214
莱西市,370285
博山区,370304
利津县,370522
坊子区,370704
任城区,370811
荣成市,371082
夏津县,371427
阳谷县,371521
惠民县,371621
邹平县,371681
中牟县,410122
顺河回族区,410203
金明区,410211100
祥符区,410212
西工区,410303
滑县,410526
鹤山区,410602
红旗区,410702
凤泉区,410704
原阳县,410725
辉县市,410782
修武县,410821
禹州市,411081
源汇区,411102
宛城区,411302
民权县,411421
平桥区,411503
固始县,411525
淮阳县,411603
项城市,411681
济源市,419001
蔡甸区,420114
点军区,420504
保康县,420626
华容区,420703
鄂城区,420704
掇刀区,420804
孝南区,420902
云梦县,420923
罗田县,421123
通城县,421222
恩施市,422801
鹤峰县,422828
仙桃市,429004
天门市,429006
芦淞区,430203
南岳区,430412
耒阳市,430481
岳阳楼区,430602
汨罗市,430681
汉寿县,430722
石门县,430726
永定区,350803
慈利县,430821
资阳区,430902
苏仙区,431003
资兴市,431081
零陵区,431102
新化县,431322
涟源市,431382
白云区,440111
黄埔区,440112
花都区,440114
南沙区,440115
濠江区,440512
澄海区,440515
电白区,440904
高要区,441204
大埔县,441422
清城区,441802
连州市,441882
普宁市,445281
罗定市,445381
涪陵区,500102
渝北区,500112
南川区,500119
潼南区,500152
开州区,500154
巫山县,500237
龙泉驿区,510112
新都区,510114
双流区,510116
仁和区,510411
米易县,510421
合江县,510522
叙永县,510524
梓潼县,510725
安居区,510904
蓬溪县,510921
市中区,370103
威远县,511024
沙湾区,511111
顺庆区,511302
高坪区,511303
东坡区,511402
汉源县,511823
平昌县,511923
安岳县,512021
盘龙区,530103
隆阳区,530502
镇雄县,530627
凤庆县,530921
楚雄市,532301
双柏县,532322
文山市,532601
广南县,532627
大理市,532901
南涧彝族自治县,532926
潞西市,533122
永登县,620121
白银区,620402
秦州区,620502
秦安县,620522
武山县,620524
崆峒区,620802
肃州区,620902
庆城县,621021
环县,621022
镇原县,621027
通渭县,621121
东城区,110101
西城区,110102
朝阳区,110105
丰台区,110106
石景山区,110107
海淀区,110108
迎泽区,140106
杏花岭区,140107
万柏林区,140109
晋源区,140110
矿区,140303
平鲁区,140603
榆次区,140702
松山区,150404
东胜区,150602
康巴什区,150603
海拉尔区,150702
大东区,210104
沈北新区,210113
于洪区,210114
西岗区,210203
沙河口区,210204
甘井子区,210211
金州区,210213
海城市,210381
凌河区,210703
西市区,210803
清河门区,210905
龙港区,211403
玄武区,320102
鼓楼区,320106
新区,220702005
新吴区,320214
溧阳市,320481
姑苏区,320508
昆山市,320583
崇川区,320613
建湖县,320925
海陵区,321202
靖江市,321282
瑶海区,340102
庐阳区,340103
包河区,340111
肥西县,340123
经济技术开发区,340172
弋江区,340209
八公山区,340405
琅琊区,341102
南谯区,341103
金安区,341502
历下区,370102
李沧区,370213
莱山区,370613
青州市,370781
兰山区,371302
高唐县,371526
中原区,410102
二七区,410103
金水区,410105
上街区,410106
涧西区,410305
吉利区,410308004
新华区,130105
湛河区,410411
华龙区,410902
湖滨区,411202
驿城区,411702
江汉区,420103
硚口区,420104
武昌区,420106
青山区,150204
洪山区,420111
东西湖区,420112
黄陂区,420116
茅箭区,420302
张湾区,420303
猇亭区,420505
沙市区,421002
黄州区,421102
芙蓉区,430102
天心区,430103
开福区,430105
雨花区,430111
石峰区,430204
冷水滩区,431103
鹤城区,431202
娄星区,431302
罗湖区,440303
福田区,440304
南山区,230404
宝安区,440306
龙岗区,440307
盐田区,440308
坪山区,440310
光明区,440311
南海区,440605
顺德区,440606
端州区,441202
万州区,500101
渝中区,500103
九龙坡区,500107
南岸区,500108
江津区,500116
合川区,500117
璧山区,500120
垫江县,500231
锦江区,510104
青羊区,510105
金牛区,510106
成华区,510108
高新区,130203012
郫县,510129
大邑县,510129
自流井区,510302
旌阳区,510603
峨眉山市,511181
翠屏区,511502
宜宾县,511500
五华区,530102
官渡区,530111
西山区,530112
城关区,540102
七里河区,620103
西固区,620104
嘉峪关市辖区,620300
