Region,Count
门头沟区,40
房山区,114
通州区,99
顺义区,121
昌平区,117
大兴区,119
怀柔区,64
平谷区,68
密云区,58
延庆县,0
小店区,117
城区,94
南郊区,0
浑源县,15
平定县,29
武乡县,11
盐湖区,131
忻府区,66
宁武县,16
静乐县,15
柳林县,41
岚县,18
赛罕区,119
和林格尔县,23
巴林左旗,16
科尔沁左翼中旗,42
库伦旗,17
达拉特旗,59
杭锦旗,12
五原县,20
四子王旗,11
乌兰浩特市,81
科尔沁右翼前旗,27
正镶白旗,3
阿拉善左旗,19
铁西区,124
东陵区,122
台安县,41
东洲区,40
本溪满族自治县,15
东港市,64
老边区,47
宏伟区,32
昌图县,80
建平县,49
绥中县,57
锡山区,53
睢宁县,124
吴中区,121
张家港市,116
启东市,86
灌南县,95
清江浦区,0
涟水县,116
盐都区,98
滨海县,67
邗江区,101
高邮市,62
丹徒区,24
兴化市,106
沭阳县,119
庐江县,118
鸠江区,101
龙子湖区,41
淮上区,39
当涂县,54
濉溪县,110
大观区,26
宿松县,72
歙县,24
颍泉区,92
太和县,108
泗县,98
裕安区,121
贵池区,71
天桥区,125
长清区,80
济阳县,72
黄岛区,114
崂山区,108
城阳区,131
莱西市,114
博山区,45
利津县,30
坊子区,95
任城区,126
荣成市,56
夏津县,64
阳谷县,118
惠民县,67
邹平县,80
中牟县,111
顺河回族区,0
金明区,114
祥符区,0
西工区,66
滑县,120
鹤山区,104
红旗区,111
凤泉区,26
原阳县,122
辉县市,113
修武县,45
禹州市,120
源汇区,54
宛城区,127
民权县,115
平桥区,116
固始县,124
淮阳县,105
项城市,120
济源市,115
蔡甸区,123
点军区,12
保康县,15
华容区,55
鄂城区,129
掇刀区,52
孝南区,128
云梦县,45
罗田县,44
通城县,58
恩施市,87
鹤峰县,14
仙桃市,123
天门市,109
芦淞区,66
南岳区,14
耒阳市,126
岳阳楼区,134
汨罗市,83
汉寿县,85
石门县,56
永定区,81
慈利县,48
资阳区,72
苏仙区,92
资兴市,46
零陵区,89
新化县,123
涟源市,97
白云区,106
黄埔区,115
花都区,126
南沙区,117
濠江区,70
澄海区,136
电白区,131
高要区,133
大埔县,54
清城区,125
连州市,53
普宁市,124
罗定市,131
涪陵区,123
渝北区,126
南川区,61
潼南区,82
开州区,113
巫山县,30
龙泉驿区,126
新都区,120
双流区,118
仁和区,29
米易县,17
合江县,55
叙永县,53
梓潼县,23
安居区,43
蓬溪县,43
市中区,118
威远县,49
沙湾区,17
顺庆区,108
高坪区,78
东坡区,123
汉源县,44
平昌县,36
安岳县,80
盘龙区,129
隆阳区,57
镇雄县,96
凤庆县,9
楚雄市,82
双柏县,8
文山市,72
广南县,41
大理市,89
南涧彝族自治县,11
潞西市,40
永登县,35
白银区,118
秦州区,64
秦安县,22
武山县,23
崆峒区,64
肃州区,63
庆城县,29
环县,23
镇原县,23
通渭县,14
东城区,82
西城区,110
朝阳区,118
丰台区,112
石景山区,55
海淀区,114
迎泽区,105
杏花岭区,116
万柏林区,112
晋源区,87
矿区,0
平鲁区,9
榆次区,118
松山区,104
东胜区,92
康巴什区,92
海拉尔区,59
大东区,115
沈北新区,117
于洪区,121
西岗区,41
沙河口区,77
甘井子区,125
金州区,132
海城市,131
凌河区,69
西市区,21
清河门区,13
龙港区,56
玄武区,56
鼓楼区,82
新区,116
新吴区,0
溧阳市,62
姑苏区,0
昆山市,127
崇川区,128
建湖县,55
海陵区,69
靖江市,58
瑶海区,128
庐阳区,114
包河区,112
肥西县,115
经济技术开发区,34
弋江区,76
八公山区,23
琅琊区,52
南谯区,47
金安区,115
历下区,119
李沧区,119
莱山区,78
青州市,128
兰山区,128
高唐县,114
中原区,127
二七区,124
金水区,121
上街区,39
涧西区,110
吉利区,122
新华区,87
湛河区,72
华龙区,135
湖滨区,64
驿城区,119
江汉区,80
硚口区,81
武昌区,118
青山区,56
洪山区,113
东西湖区,120
黄陂区,118
茅箭区,109
张湾区,80
猇亭区,10
沙市区,76
黄州区,48
芙蓉区,123
天心区,132
开福区,128
雨花区,124
石峰区,59
冷水滩区,125
鹤城区,120
娄星区,126
罗湖区,114
福田区,119
南山区,129
宝安区,120
龙岗区,127
盐田区,30
坪山区,0
光明区,125
南海区,129
顺德区,129
端州区,131
万州区,125
渝中区,77
九龙坡区,128
南岸区,129
江津区,124
合川区,120
璧山区,101
垫江县,81
锦江区,115
青羊区,127
金牛区,129
成华区,118
高新区,120
郫县,130
大邑县,63
自流井区,51
旌阳区,84
峨眉山市,62
翠屏区,115
宜宾县,118
五华区,124
官渡区,127
西山区,124
城关区,130
七里河区,120
西固区,64
嘉峪关市辖区,43
